symbol	definition_file	reference_file	reference_line	reference_kind
nskk--activation-lock-owner	nskk.el	nskk-tutorial.el	445	read
nskk--active-buffers	nskk.el	nskk-tutorial.el	1050	read
nskk--annotation-initialized	nskk-annotation.el	nskk-tutorial.el	652	read
nskk--annotation-load-from-candidates	nskk-annotation.el	nskk-dictionary.el	73	read
nskk--annotation-load-from-candidates	nskk-annotation.el	nskk-dictionary.el	782	read
nskk--annotation-load-from-candidates	nskk-annotation.el	nskk-dictionary.el	785	read
nskk--azik-colon-okuri-deferred	nskk-keymap.el	nskk-henkan.el	286	read
nskk--azik-colon-okuri-deferred	nskk-keymap.el	nskk-henkan.el	658	read
nskk--azik-colon-okuri-deferred	nskk-keymap.el	nskk-henkan.el	1307	read
nskk--azik-colon-okuri-deferred	nskk-keymap.el	nskk-input.el	207	read
nskk--azik-colon-okuri-deferred	nskk-keymap.el	nskk-input.el	555	read
nskk--azik-colon-okuri-deferred	nskk-keymap.el	nskk-input.el	805	read
nskk--azik-colon-okuri-deferred	nskk-keymap.el	nskk-input.el	1054	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-henkan.el	285	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-henkan.el	657	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-henkan.el	1306	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-input.el	204	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-input.el	550	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-input.el	566	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-input.el	625	read
nskk--azik-colon-okuri-pending	nskk-keymap.el	nskk-input.el	1053	read
nskk--azik-sokuon-okuri-kana-pending	nskk-input.el	nskk-henkan.el	287	read
nskk--azik-sokuon-okuri-kana-pending	nskk-input.el	nskk-henkan.el	659	read
nskk--azik-sokuon-okuri-kana-pending	nskk-input.el	nskk-henkan.el	1308	read
nskk--azik-vowel-shadow-set	nskk-input.el	nskk-azik.el	255	read
nskk--azik-vowel-shadow-set	nskk-input.el	nskk-azik.el	259	read
nskk--azik-vowel-shadow-set	nskk-input.el	nskk-azik.el	296	read
nskk--azik-vowel-shadow-set	nskk-input.el	nskk-azik.el	310	read
nskk--candidate-key-facts-initialized	nskk-candidate-window.el	nskk-tutorial.el	651	read
nskk--candidate-overlay	nskk-state.el	nskk-candidate-window.el	86	read
nskk--candidate-overlay	nskk-state.el	nskk-candidate-window.el	158	read
nskk--candidate-overlay	nskk-state.el	nskk-candidate-window.el	171	read
nskk--candidate-overlay	nskk-state.el	nskk-henkan.el	356	read
nskk--classify-state	nskk-keymap.el	nskk-input.el	121	read
nskk--classify-state	nskk-keymap.el	nskk-input.el	280	read
nskk--clear-azik-pending-state	nskk-henkan.el	nskk-keymap.el	135	read
nskk--clear-azik-pending-state	nskk-henkan.el	nskk-keymap.el	601	read
nskk--clear-conversion-context	nskk-henkan.el	nskk-input.el	117	read
nskk--clear-conversion-context	nskk-henkan.el	nskk-input.el	298	read
nskk--clear-conversion-context	nskk-henkan.el	nskk.el	127	read
nskk--clear-conversion-context	nskk-henkan.el	nskk.el	360	mutation
nskk--clear-pending-romaji	nskk-henkan.el	nskk-input.el	120	read
nskk--clear-pending-romaji	nskk-henkan.el	nskk-input.el	333	read
nskk--clear-pending-romaji	nskk-henkan.el	nskk-input.el	517	read
nskk--clear-pending-romaji	nskk-henkan.el	nskk-keymap.el	137	read
nskk--clear-pending-romaji	nskk-henkan.el	nskk-keymap.el	662	read
nskk--clear-pending-romaji	nskk-henkan.el	nskk.el	109	read
nskk--clear-pending-romaji	nskk-henkan.el	nskk.el	615	read
nskk--commit-by-phase	nskk-keymap.el	nskk.el	132	read
nskk--compute-phase	nskk-keymap.el	nskk-henkan.el	151	read
nskk--compute-phase	nskk-keymap.el	nskk-henkan.el	1692	read
nskk--conversion-overlay	nskk-state.el	nskk-candidate-window.el	85	read
nskk--conversion-overlay	nskk-state.el	nskk-candidate-window.el	141	read
nskk--conversion-overlay	nskk-state.el	nskk-candidate-window.el	142	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	252	mutation
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	265	reflection
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	267	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	268	mutation
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	354	let-binding
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	558	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	679	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	717	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	846	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	878	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	923	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	947	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	948	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	949	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	950	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	998	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1040	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1108	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1109	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1129	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1230	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1231	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1232	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1292	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1294	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1295	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1361	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1362	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1830	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1837	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1920	read
nskk--conversion-overlay	nskk-state.el	nskk-henkan.el	1921	read
nskk--conversion-overlay	nskk-state.el	nskk-inline.el	98	read
nskk--conversion-overlay	nskk-state.el	nskk-inline.el	99	read
nskk--conversion-overlay	nskk-state.el	nskk-input.el	126	read
nskk--conversion-overlay	nskk-state.el	nskk.el	573	read
nskk--conversion-overlay	nskk-state.el	nskk.el	574	read
nskk--conversion-overlay	nskk-state.el	nskk.el	575	read
nskk--conversion-start-active-p	nskk-henkan.el	nskk-input.el	106	read
nskk--conversion-start-active-p	nskk-henkan.el	nskk-input.el	184	read
nskk--conversion-start-active-p	nskk-henkan.el	nskk-input.el	357	read
nskk--conversion-start-active-p	nskk-henkan.el	nskk-input.el	362	read
nskk--conversion-start-active-p	nskk-henkan.el	nskk-input.el	530	read
